N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1471.0,TIGER 200 철강소재,9840.0,250.0,+2.61%,0.0,9770.0,9950.0,9745.0
1472.0,ACE 미국30년국채선물레버리지(합성 H),9250.0,165.0,-1.75%,0.0,9230.0,9255.0,9195.0
1473.0,TIGER 미국달러선물레버리지,12570.0,220.0,+1.78%,0.0,12465.0,12645.0,12465.0
1474.0,ARIRANG 우주항공&UAM iSelect,11020.0,180.0,+1.66%,0.0,10870.0,11030.0,10870.0
1475.0,TIGER TSMC밸류체인FACTSET,9480.0,35.0,+0.37%,0.0,9445.0,9515.0,9415.0
1476.0,메리츠 블룸버그 레버리지 WTI선물 ETN(H),13740.0,15.0,-0.11%,0.0,13765.0,13765.0,13740.0
1477.0,FOCUS AI코리아액티브,11440.0,20.0,-0.17%,0.0,11415.0,11440.0,11380.0
1478.0,KODEX 기계장비,6930.0,180.0,+2.67%,0.0,6770.0,6930.0,6745.0
1479.0,KB S&P 레버리지 WTI원유 선물 ETN(H),13710.0,40.0,-0.29%,0.0,13770.0,13770.0,13670.0
1480.0,티와이홀딩스우,10910.0,0.0,0.00%,500.0,10780.0,11230.0,10400.0
1481.0,TIGER 배당성장,16870.0,50.0,-0.30%,0.0,16800.0,16900.0,16775.0
1482.0,KB 인버스 2X KOSDAQ 150 선물 ETN,9080.0,65.0,-0.71%,0.0,9170.0,9290.0,9065.0
1483.0,ACE 일본Nikkei225(H),19420.0,50.0,+0.26%,0.0,19360.0,19550.0,19315.0
1484.0,QV 인버스 레버리지 은 선물 ETN(H),13575.0,595.0,+4.58%,0.0,13645.0,13665.0,13570.0
1485.0,KBSTAR 중국MSCI China(H),8755.0,155.0,+1.80%,0.0,8645.0,8755.0,8535.0
1486.0,메리츠 인버스 2X 은 선물 ETN(H),13525.0,525.0,+4.04%,0.0,13590.0,13640.0,13515.0
1487.0,KBSTAR 헬스케어채권혼합,11235.0,70.0,-0.62%,0.0,11300.0,11300.0,11225.0
1488.0,ACE 미국다우존스리츠(합성 H),74800.0,700.0,-0.93%,0.0,75000.0,75000.0,74255.0
1489.0,메리츠 인버스 2X 미국채10년 ETN(H),13380.0,150.0,+1.13%,0.0,13415.0,13415.0,13380.0
1490.0,KB 블룸버그 레버리지 천연가스선물 ETN(H),1335.0,145.0,+12.18%,0.0,1330.0,1335.0,1300.0
1491.0,KODEX 최소변동성,11105.0,65.0,-0.58%,0.0,11105.0,11105.0,11105.0
1492.0,신한 인버스 2X 구리 선물 ETN,2660.0,65.0,+2.50%,0.0,2665.0,2705.0,2655.0
1493.0,ACE 엔비디아채권혼합블룸버그,12045.0,70.0,+0.58%,0.0,12050.0,12050.0,11980.0
1494.0,KB 레버리지 KOSPI 200 선물 ETN,26485.0,25.0,-0.09%,0.0,26330.0,26555.0,26280.0
1495.0,TIGER 200 금융,6240.0,20.0,-0.32%,0.0,6280.0,6280.0,6205.0
1496.0,TRUE 레버리지 유로스탁스50 ETN(H) B,13205.0,130.0,+0.99%,0.0,13200.0,13215.0,13195.0
1497.0,KODEX KRX300레버리지,13175.0,40.0,+0.30%,0.0,13205.0,13205.0,13125.0
1498.0,삼성 레버리지 항셍테크 ETN(H),2190.0,95.0,+4.53%,0.0,2060.0,2190.0,2050.0
1499.0,BNK 주주가치액티브,11925.0,110.0,-0.91%,0.0,11990.0,11990.0,11890.0
1500.0,KODEX 미국S&P500산업재(합성),22810.0,300.0,+1.33%,0.0,22685.0,22810.0,22655.0
1501.0,KODEX Fn Top10동일가중,8155.0,60.0,-0.73%,0.0,8210.0,8210.0,8125.0
1502.0,KBSTAR 국채선물10년인버스,53005.0,205.0,+0.39%,0.0,53000.0,53030.0,52910.0
1503.0,태양금속우,3900.0,45.0,+1.17%,500.0,3930.0,3940.0,3895.0
1504.0,ACE 골드선물 레버리지(합성 H),18360.0,420.0,-2.24%,0.0,18140.0,18360.0,18025.0
1505.0,메리츠 인버스 2X 대표 농산물 선물 ETN(H),12840.0,335.0,-2.54%,0.0,12800.0,12895.0,12800.0
1506.0,KODEX 3대농산물선물(H),12220.0,115.0,+0.95%,0.0,12235.0,12245.0,12195.0
1507.0,KODEX 운송,4930.0,60.0,+1.23%,0.0,4910.0,4930.0,4845.0
1508.0,미래에셋 인버스 2X 옥수수 선물 ETN,12740.0,275.0,-2.11%,0.0,12635.0,12780.0,12615.0
1509.0,신한 FnGuide 메타버스 ETN,6360.0,30.0,-0.47%,0.0,6435.0,6435.0,6360.0
1510.0,KODEX 200exTOP,11545.0,0.0,0.00%,0.0,11545.0,11545.0,11545.0
1511.0,메리츠 인버스 국채30년 ETN,12635.0,90.0,+0.72%,0.0,12635.0,12635.0,12635.0
1512.0,신한 인버스 옥수수 선물 ETN(H),6315.0,95.0,-1.48%,0.0,6250.0,6325.0,6250.0
1513.0,TRUE 금 선물 ETN,12625.0,0.0,0.00%,0.0,12625.0,12625.0,12625.0
1514.0,HANARO 글로벌탄소배출권선물ICE(합성),12615.0,160.0,+1.28%,0.0,12520.0,12625.0,12520.0
1515.0,TIGER LG그룹+펀더멘털,9850.0,100.0,-1.01%,0.0,9950.0,9950.0,9775.0
1516.0,SOL 미국배당다우존스(H),10480.0,10.0,+0.10%,0.0,10455.0,10500.0,10450.0
1517.0,에셋플러스 코리아대장장이액티브,11395.0,20.0,+0.18%,0.0,11340.0,11395.0,11310.0
1518.0,삼성 인버스 HSCEI ETN(H),12505.0,0.0,0.00%,0.0,12505.0,12505.0,12505.0
1519.0,VITA MZ소비액티브,8015.0,5.0,-0.06%,0.0,8015.0,8015.0,7975.0
1520.0,삼성 인버스 2X HSCEI ETN(H),12400.0,0.0,0.00%,0.0,12400.0,12400.0,12400.0
1521.0,신한 USD K200 선물 바이셀 ETN,6195.0,0.0,0.00%,0.0,6195.0,6195.0,6195.0
1522.0,ACE 글로벌메타버스테크액티브,7260.0,55.0,+0.76%,0.0,7200.0,7280.0,7170.0
1523.0,KOSEF 고배당,9140.0,45.0,+0.49%,0.0,9060.0,9145.0,9060.0
1524.0,삼성 인버스 2X 구리 선물 ETN(H),2465.0,30.0,+1.23%,0.0,2475.0,2510.0,2465.0
1525.0,JW중외제약2우B,59800.0,800.0,+1.36%,2500.0,60000.0,60000.0,59800.0
1526.0,대신 S&P 인버스 WTI원유 선물 ETN,12305.0,75.0,+0.61%,0.0,12300.0,12305.0,12230.0
1527.0,KBSTAR 삼성그룹Top3채권혼합블룸버그,10250.0,70.0,-0.68%,0.0,10250.0,10265.0,10235.0
1528.0,KODEX MSCI KOREA ESG유니버설,10165.0,15.0,-0.15%,0.0,10090.0,10165.0,10085.0
1529.0,ARIRANG 고배당주채권혼합,11075.0,5.0,-0.05%,0.0,11085.0,11085.0,11035.0
1530.0,메리츠 인버스 2X 미국채30년 ETN(H),12120.0,225.0,+1.89%,0.0,12175.0,12175.0,12110.0
1531.0,신한 인버스 금 선물 ETN(H),6050.0,85.0,+1.42%,0.0,6085.0,6095.0,6050.0
1532.0,대신 인버스 밀 선물 ETN(H),12085.0,285.0,-2.30%,0.0,12075.0,12085.0,12075.0
1533.0,신한 인버스 콩 선물 ETN(H),6020.0,40.0,+0.67%,0.0,6040.0,6040.0,6020.0
1534.0,HANARO KOFR금리액티브(합성),100340.0,15.0,+0.01%,0.0,100340.0,100340.0,100340.0
1535.0,KODEX Fn K-뉴딜디지털플러스,9985.0,90.0,+0.91%,0.0,9895.0,9985.0,9845.0
1536.0,KODEX 미국ETF산업Top10 Indxx,11380.0,175.0,+1.56%,0.0,11205.0,11385.0,11205.0
1537.0,대덕1우,9850.0,30.0,+0.31%,500.0,9820.0,9990.0,9600.0
1538.0,KOSEF 미국S&P500,10840.0,100.0,+0.93%,0.0,10790.0,10875.0,10790.0
1539.0,TRUE 인버스 베트남 VN30 선물 ETN(H),11900.0,95.0,+0.80%,0.0,11825.0,11915.0,11825.0
1540.0,KODEX 구리선물(H),7395.0,35.0,-0.47%,0.0,7500.0,7500.0,7325.0
1541.0,메리츠 인버스 미국채10년 ETN(H),11765.0,60.0,+0.51%,0.0,11780.0,11780.0,11765.0
1542.0,TIMEFOLIO Korea플러스배당액티브,10480.0,75.0,+0.72%,0.0,10450.0,10500.0,10420.0
1543.0,TRUE S&P500 양매도 4% OTM ETN(H),11705.0,20.0,+0.17%,0.0,11705.0,11705.0,11705.0
1544.0,ACE 일본TOPIX레버리지(H),23410.0,115.0,+0.49%,0.0,23300.0,23495.0,23300.0
1545.0,미래에셋 FnGuide 부산엑스포 추가수익 ETN,11650.0,0.0,0.00%,0.0,11650.0,11650.0,11650.0
1546.0,ARIRANG S&P글로벌인프라,14560.0,10.0,+0.07%,0.0,14550.0,14595.0,14550.0
1547.0,HANARO Fn K-반도체,8285.0,60.0,-0.72%,0.0,8275.0,8285.0,8225.0
1548.0,TRUE 인버스 플래티넘 선물 ETN,11570.0,0.0,0.00%,0.0,11570.0,11570.0,11570.0
1549.0,신한 달러인덱스 선물 ETN(H),11535.0,0.0,0.00%,0.0,11535.0,11535.0,11535.0
1550.0,메리츠 대표 농산물 선물 ETN(H),11530.0,140.0,+1.23%,0.0,11530.0,11530.0,11530.0
1551.0,KB S&P 유럽탄소배출권 선물 ETN(H),11475.0,0.0,0.00%,0.0,11475.0,11475.0,11475.0
1552.0,삼성 인버스 항셍테크 ETN(H),11470.0,155.0,-1.33%,0.0,11470.0,11470.0,11470.0
1553.0,미래에셋 천연가스 선물 ETN(H),2865.0,175.0,+6.51%,0.0,2845.0,2875.0,2845.0
1554.0,하나 인버스 2X 옥수수 선물 ETN(H),11425.0,355.0,-3.01%,0.0,11360.0,11450.0,11350.0
1555.0,파워 코스피100,25935.0,285.0,+1.11%,0.0,25700.0,25935.0,25660.0
1556.0,ACE 멕시코MSCI(합성),14200.0,100.0,+0.71%,0.0,14360.0,14360.0,14080.0
1557.0,KB 레버리지 금 선물 ETN(H),22635.0,695.0,-2.98%,0.0,22420.0,22635.0,22350.0
1558.0,SOL 차이나육성산업액티브(합성),8695.0,115.0,+1.34%,0.0,8445.0,8700.0,8445.0
1559.0,메리츠 인버스 미국채30년 ETN(H),11290.0,100.0,+0.89%,0.0,11315.0,11320.0,11290.0
1560.0,TIGER KRX300,16025.0,55.0,-0.34%,0.0,15995.0,16035.0,15945.0
1561.0,삼성 인버스 코스피 200 선물 ETN,11215.0,55.0,+0.49%,0.0,10650.0,11245.0,10650.0
1562.0,SOL KRX300,15980.0,65.0,-0.41%,0.0,16030.0,16030.0,15970.0
1563.0,삼성 KRX 2차전지 K-뉴딜 ETN,11180.0,405.0,+3.76%,0.0,10820.0,11180.0,10790.0
